RunId;Time;CP;VM;Label;Status;Value;Detail
20260919-050000;2026-09-19T05:00:06;CP00;-;Authentication VBR / AHV plug-in / Prism Central;OK;;VBR 13.x integrated plug-in (v9)
20260919-050000;2026-09-19T05:00:09;CP01;-;Cluster, storage container and isolated subnet present;OK;;CLUSTER-01 / default-container / VLAN-RecoveryVerification
20260919-050000;2026-09-19T05:00:12;CP02;-;Isolated subnet is non-routed;OK;;is_external=false, no gateway
20260919-050000;2026-09-19T05:00:15;CP03;-;No foreign VM on the isolated subnet;OK;;
20260919-050000;2026-09-19T05:00:18;CP04;-;No leftover test VM;OK;;
20260919-050000;2026-09-19T05:00:24;CP10;SRV-AD01;Restore point found;OK;;created on 2026-09-18T22:14:07Z
20260919-050000;2026-09-19T05:00:27;CP11;SRV-AD01;Restore point age <= 30 h;OK;6.8;6.8 h
20260919-050000;2026-09-19T05:01:13;CP10;SRV-FILE01;Restore point found;OK;;created on 2026-09-18T22:41:52Z
20260919-050000;2026-09-19T05:01:16;CP11;SRV-FILE01;Restore point age <= 30 h;OK;6.3;6.3 h
20260919-050000;2026-09-19T05:02:02;CP10;SRV-WEB01;Restore point found;OK;;created on 2026-09-17T22:10:33Z
20260919-050000;2026-09-19T05:02:05;CP11;SRV-WEB01;Restore point age <= 30 h;KO;30.9;30.9 h - RPO missed, check the backup job
20260919-050000;2026-09-19T05:02:51;CP10;SRV-SQL01;Restore point found;OK;;created on 2026-09-18T23:05:18Z
20260919-050000;2026-09-19T05:02:54;CP11;SRV-SQL01;Restore point age <= 30 h;OK;6.0;6.0 h
20260919-050000;2026-09-19T05:03:40;CP10;SRV-OLD01;Restore point found;KO;;no Nutanix AHV restore point for this name
20260919-050000;2026-09-19T05:03:43;CP13;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:03:46;CP20;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:03:49;CP21;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:03:52;CP22;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:03:55;CP23;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:03:58;CP30;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:04:01;CP40;SRV-OLD01;Post-restore check;SKIP;;no restore point
20260919-050000;2026-09-19T05:55:06;CP12;SRV-AD01;Restore session completed;OK;;Success
20260919-050000;2026-09-19T05:55:09;CP13;SRV-AD01;Restore duration <= 45 min;OK;17.5;17.5 min
