RunId;Time;CP;VM;Label;Status;Value;Detail
20260919-050000;2026-09-19T05:00:06;CP00;-;Authentification VBR / plug-in AHV / Prism Central;OK;;VBR 13.x integrated plug-in (v9)
20260919-050000;2026-09-19T05:00:09;CP01;-;Cluster, conteneur de stockage et sous-réseau isolé présents;OK;;CLUSTER-01 / default-container / VLAN-RecoveryVerification
20260919-050000;2026-09-19T05:00:12;CP02;-;Sous-réseau isolé non routé;OK;;is_external=false, aucune passerelle
20260919-050000;2026-09-19T05:00:15;CP03;-;Aucune VM hors périmètre sur le sous-réseau isolé;OK;;
20260919-050000;2026-09-19T05:00:18;CP04;-;Aucune VM de test résiduelle;OK;;
20260919-050000;2026-09-19T05:00:24;CP10;SRV-AD01;Point de restauration trouvé;OK;;créé le 2026-09-18T22:14:07Z
20260919-050000;2026-09-19T05:00:27;CP11;SRV-AD01;Âge du point de restauration <= 30 h;OK;6.8;6.8 h
20260919-050000;2026-09-19T05:01:13;CP10;SRV-FILE01;Point de restauration trouvé;OK;;créé le 2026-09-18T22:41:52Z
20260919-050000;2026-09-19T05:01:16;CP11;SRV-FILE01;Âge du point de restauration <= 30 h;OK;6.3;6.3 h
20260919-050000;2026-09-19T05:02:02;CP10;SRV-WEB01;Point de restauration trouvé;OK;;créé le 2026-09-17T22:10:33Z
20260919-050000;2026-09-19T05:02:05;CP11;SRV-WEB01;Âge du point de restauration <= 30 h;KO;30.9;30.9 h - RPO non tenu, vérifier le job de sauvegarde
20260919-050000;2026-09-19T05:02:51;CP10;SRV-SQL01;Point de restauration trouvé;OK;;créé le 2026-09-18T23:05:18Z
20260919-050000;2026-09-19T05:02:54;CP11;SRV-SQL01;Âge du point de restauration <= 30 h;OK;6.0;6.0 h
20260919-050000;2026-09-19T05:03:40;CP10;SRV-OLD01;Point de restauration trouvé;KO;;aucun point de restauration Nutanix AHV pour ce nom
20260919-050000;2026-09-19T05:03:43;CP13;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:03:46;CP20;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:03:49;CP21;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:03:52;CP22;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
